Loan;1000;1;11/10/22
Loan;1000;6;11/10/22
Loan;1000;3;11/10/22
Loan;1000;4;11/10/22
Return;1000;1;15/10/22
Return;1000;6;15/10/22
Return;1000;3;17/10/22
Return;1000;4;18/10/22
Reserve;1004;6;19/10/22
Reserve;1005;7;19/10/22
Reserve;1001;9;19/10/22
Reserve;1002;8;20/10/22
Reserve;1003;3;20/10/22
Loan;1004;6;20/10/22
Loan;1005;7;20/10/22
Loan;1001;9;20/10/22
Loan;1002;8;20/10/22
Loan;1003;3;21/10/22
Reserve;1002;11;21/10/22
Reserve;1009;20;21/10/22
Loan;1009;20;22/10/22
Return;1009;20;23/10/22
Loan;1009;20;23/10/22
Return;1003;3;04/12/22
Return;1009;20;04/12/22
Loan;1009;20;04/12/22
Return;1004;6;04/12/22
Return;1005;7;04/12/22
Return;1002;8;04/12/22
Return;1001;9;04/12/22
Return;1009;20;04/12/22
Loan;1009;20;04/12/22
Return;1009;20;04/12/22
Loan;1009;23;04/12/22
Loan;1012;1;13/12/22
Loan;1012;2;13/12/22
Loan;1012;3;13/12/22
Loan;1012;4;13/12/22
Loan;1012;5;13/12/22
Loan;1012;6;13/12/22
Loan;1012;7;13/12/22
Loan;1012;8;13/12/22
Loan;1012;9;13/12/22
Loan;1005;12;13/12/22
Loan;1008;14;13/12/22
Loan;1008;15;13/12/22
Loan;1008;16;13/12/22
Loan;1006;13;13/12/22
Return;1012;1;13/12/22
Return;1012;2;13/12/22
Return;1012;3;13/12/22
Return;1012;4;13/12/22
Return;1012;9;13/12/22
Return;1002;11;13/12/22
Return;1008;14;13/12/22
Return;1012;6;13/12/22
Return;1005;12;13/12/22
Return;1006;13;13/12/22
Return;1008;15;13/12/22
Return;1008;16;13/12/22
Loan;1004;6;14/12/22
Loan;1003;4;14/12/22
Reserve;1003;8;14/12/22
Return;1003;4;14/12/22
Loan;1000;1;22/10/23
Loan;1000;2;22/10/23
Return;1000;1;22/10/23
Return;1000;2;22/10/23
